,Date,Country,Cases,Deaths,Recovered,week_number,month,year
0,2009-07-06,Algeria,5,0,5,28,7,2009
1,2009-07-06,Antigua,2,0,2,28,7,2009
2,2009-07-06,Argentina,2485,60,2425,28,7,2009
3,2009-07-06,Australia,5298,10,5288,28,7,2009
4,2009-07-06,Austria,19,0,19,28,7,2009
5,2009-07-06,Bahamas,7,0,7,28,7,2009
6,2009-07-06,Bahrain,15,0,15,28,7,2009
7,2009-07-06,Bangladesh,18,0,18,28,7,2009
8,2009-07-06,Barbados,12,0,12,28,7,2009
9,2009-07-06,Belgium,54,0,54,28,7,2009
10,2009-07-06,Bermuda,1,0,1,28,7,2009
11,2009-07-06,Bolivia,416,0,416,28,7,2009
12,2009-07-06,Bosnia,1,0,1,28,7,2009
13,2009-07-06,Brazil,737,1,736,28,7,2009
14,2009-07-06,BVI,2,0,2,28,7,2009
15,2009-07-06,Brunei Darussalam,124,0,124,28,7,2009
16,2009-07-06,Bulgaria,10,0,10,28,7,2009
17,2009-07-06,Cambodia,7,0,7,28,7,2009
18,2009-07-06,Canada,7983,25,7958,28,7,2009
19,2009-07-06,Cap Verde,3,0,3,28,7,2009
20,2009-07-06,"Cayman Islands, UKOT",14,0,14,28,7,2009
21,2009-07-06,Chile,7376,14,7362,28,7,2009
22,2009-07-06,China,2040,0,2040,28,7,2009
23,2009-07-06,Colombia,118,2,116,28,7,2009
24,2009-07-06,Cook Island,1,0,1,28,7,2009
25,2009-07-06,Costa Rica,277,3,274,28,7,2009
26,2009-07-06,Cote d'Ivoire,2,0,2,28,7,2009
27,2009-07-06,Croatia,1,0,1,28,7,2009
28,2009-07-06,Cuba,85,0,85,28,7,2009
29,2009-07-06,Cyprus,109,0,109,28,7,2009
30,2009-07-06,Czech Republic,15,0,15,28,7,2009
31,2009-07-06,Denmark,66,0,66,28,7,2009
32,2009-07-06,Dominica,1,0,1,28,7,2009
33,2009-07-06,Dominican Republic,108,2,106,28,7,2009
34,2009-07-06,Ecuador,204,0,204,28,7,2009
35,2009-07-06,Egypt,78,0,78,28,7,2009
36,2009-07-06,El Salvador,319,0,319,28,7,2009
37,2009-07-06,Estonia,13,0,13,28,7,2009
38,2009-07-06,Ethiopia,3,0,3,28,7,2009
39,2009-07-06,Fiji,2,0,2,28,7,2009
40,2009-07-06,Finland,47,0,47,28,7,2009
41,2009-07-06,France,332,0,332,28,7,2009
42,2009-07-06,Germany,505,0,505,28,7,2009
43,2009-07-06,Greece,151,0,151,28,7,2009
44,2009-07-06,Guatemala ,286,2,284,28,7,2009
45,2009-07-06,Guyana,2,0,2,28,7,2009
46,2009-07-06,Honduras,123,1,122,28,7,2009
47,2009-07-06,Hungary,11,0,11,28,7,2009
48,2009-07-06,Iceland,4,0,4,28,7,2009
49,2009-07-06,India,129,0,129,28,7,2009
50,2009-07-06,Indonesia,20,0,20,28,7,2009
51,2009-07-06,Iran,1,0,1,28,7,2009
52,2009-07-06,Iraq,12,0,12,28,7,2009
53,2009-07-06,Ireland,74,0,74,28,7,2009
54,2009-07-06,Israel,681,0,681,28,7,2009
55,2009-07-06,Italy,146,0,146,28,7,2009
56,2009-07-06,Jamaica,32,0,32,28,7,2009
57,2009-07-06,Japan,1790,0,1790,28,7,2009
58,2009-07-06,Jordan,23,0,23,28,7,2009
59,2009-07-06,Kenya,15,0,15,28,7,2009
60,2009-07-06,Korea,202,0,202,28,7,2009
61,2009-07-06,Kuwait,35,0,35,28,7,2009
62,2009-07-06,Laos,5,0,5,28,7,2009
63,2009-07-06,Latvia,1,0,1,28,7,2009
64,2009-07-06,Lebanon,49,0,49,28,7,2009
65,2009-07-06,Libya,1,0,1,28,7,2009
66,2009-07-06,Lithuania,3,0,3,28,7,2009
67,2009-07-06,Luxembourg,6,0,6,28,7,2009
68,2009-07-06,Malaysia,112,0,112,28,7,2009
69,2009-07-06,Malta,24,0,24,28,7,2009
70,2009-07-06,Mauritius,1,0,1,28,7,2009
71,2009-07-06,Mexico,10262,119,10143,28,7,2009
72,2009-07-06,Montenegro,10,0,10,28,7,2009
73,2009-07-06,Morocco,17,0,17,28,7,2009
74,2009-07-06,Myanmar,1,0,1,28,7,2009
75,2009-07-06,Nepal,5,0,5,28,7,2009
76,2009-07-06,Netherlands,155,0,155,28,7,2009
77,2009-07-06,New Zealand,1059,3,1056,28,7,2009
78,2009-07-06,Nicaragua,321,0,321,28,7,2009
79,2009-07-06,Norway,41,0,41,28,7,2009
80,2009-07-06,Oman,4,0,4,28,7,2009
81,2009-07-06,Palau,1,0,1,28,7,2009
82,2009-07-06,Panama,417,0,417,28,7,2009
83,2009-07-06,Papua New Guinea,1,0,1,28,7,2009
84,2009-07-06,Paraguay,106,1,105,28,7,2009
85,2009-07-06,Peru,916,0,916,28,7,2009
86,2009-07-06,Philippines,1709,1,1708,28,7,2009
87,2009-07-06,Poland,25,0,25,28,7,2009
88,2009-07-06,Portugal,42,0,42,28,7,2009
89,2009-07-06,Qatar,23,0,23,28,7,2009
90,2009-07-06,Romania,41,0,41,28,7,2009
91,2009-07-06,Russia,3,0,3,28,7,2009
92,2009-07-06,Saint Lucia,1,0,1,28,7,2009
93,2009-07-06,Samoa,1,0,1,28,7,2009
94,2009-07-06,Saudi Arabia,114,0,114,28,7,2009
95,2009-07-06,Serbia,15,0,15,28,7,2009
96,2009-07-06,Singapore,1055,0,1055,28,7,2009
97,2009-07-06,Slovakia,18,0,18,28,7,2009
98,2009-07-06,Slovenia,14,0,14,28,7,2009
99,2009-07-06,South Africa,18,0,18,28,7,2009
100,2009-07-06,Spain,776,1,775,28,7,2009
101,2009-07-06,Sri Lanka,19,0,19,28,7,2009
102,2009-07-06,Suriname,11,0,11,28,7,2009
103,2009-07-06,Sweden,84,0,84,28,7,2009
104,2009-07-06,Switzerland,76,0,76,28,7,2009
105,2009-07-06,Syria,1,0,1,28,7,2009
106,2009-07-06,Thailand,2076,7,2069,28,7,2009
107,2009-07-06,Yugoslav,2,0,2,28,7,2009
108,2009-07-06,Trinidad and Tobago,65,0,65,28,7,2009
109,2009-07-06,Tunisia,5,0,5,28,7,2009
110,2009-07-06,Turkey,40,0,40,28,7,2009
111,2009-07-06,Uganda,1,0,1,28,7,2009
112,2009-07-06,Ukraine,1,0,1,28,7,2009
113,2009-07-06,United Arab Emirates,8,0,8,28,7,2009
114,2009-07-06,United Kingdom,7464,3,7461,28,7,2009
115,2009-07-06,USA,33921,170,33751,28,7,2009
116,2009-07-06,Uruguay,195,4,191,28,7,2009
117,2009-07-06,Vanuatu,2,0,2,28,7,2009
118,2009-07-06,Venezuela,206,0,206,28,7,2009
119,2009-07-06,Viet Nam,181,0,181,28,7,2009
120,2009-07-06,West Bank,60,0,60,28,7,2009
121,2009-07-06,Yemen,8,0,8,28,7,2009
122,2009-07-03,Algeria,5,0,5,27,7,2009
123,2009-07-03,Antigua,2,0,2,27,7,2009
124,2009-07-03,Argentina,1587,26,1561,27,7,2009
125,2009-07-03,Australia,4568,9,4559,27,7,2009
126,2009-07-03,Austria,15,0,15,27,7,2009
127,2009-07-03,Bahamas,6,0,6,27,7,2009
128,2009-07-03,Bahrain,15,0,15,27,7,2009
129,2009-07-03,Bangladesh,12,0,12,27,7,2009
130,2009-07-03,Barbados,12,0,12,27,7,2009
131,2009-07-03,Belgium,49,0,49,27,7,2009
132,2009-07-03,Bermuda,1,0,1,27,7,2009
133,2009-07-03,Bolivia,283,0,283,27,7,2009
134,2009-07-03,Bosnia,1,0,1,27,7,2009
135,2009-07-03,Brazil,737,1,736,27,7,2009
136,2009-07-03,BVI,2,0,2,27,7,2009
137,2009-07-03,Brunei Darussalam,85,0,85,27,7,2009
138,2009-07-03,Bulgaria,10,0,10,27,7,2009
139,2009-07-03,Cambodia,7,0,7,27,7,2009
140,2009-07-03,Canada,7983,25,7958,27,7,2009
141,2009-07-03,Cap Verde,3,0,3,27,7,2009
142,2009-07-03,"Cayman Islands, UKOT",14,0,14,27,7,2009
143,2009-07-03,Chile,7376,14,7362,27,7,2009
144,2009-07-03,China,1814,0,1814,27,7,2009
145,2009-07-03,Colombia,101,2,99,27,7,2009
146,2009-07-03,Costa Rica*,227,2,225,27,7,2009
147,2009-07-03,Cote d'Ivoire,2,0,2,27,7,2009
148,2009-07-03,Cuba,73,0,73,27,7,2009
149,2009-07-03,Cyprus,70,0,70,27,7,2009
150,2009-07-03,Czech Republic,15,0,15,27,7,2009
151,2009-07-03,Denmark,63,0,63,27,7,2009
152,2009-07-03,Dominica,1,0,1,27,7,2009
153,2009-07-03,Dominican Republic,108,2,106,27,7,2009
154,2009-07-03,Ecuador,163,0,163,27,7,2009
155,2009-07-03,Egypt,67,0,67,27,7,2009
156,2009-07-03,El Salvador,253,0,253,27,7,2009
157,2009-07-03,Estonia,13,0,13,27,7,2009
158,2009-07-03,Ethiopia,3,0,3,27,7,2009
159,2009-07-03,Fiji,2,0,2,27,7,2009
160,2009-07-03,Finland,43,0,43,27,7,2009
161,2009-07-03,France,310,0,310,27,7,2009
162,2009-07-03,Germany,470,0,470,27,7,2009
163,2009-07-03,Greece,109,0,109,27,7,2009
164,2009-07-03,Guatemala ,254,2,252,27,7,2009
165,2009-07-03,Honduras,123,1,122,27,7,2009
166,2009-07-03,Hungary,11,0,11,27,7,2009
167,2009-07-03,Iceland,4,0,4,27,7,2009
168,2009-07-03,India,104,0,104,27,7,2009
169,2009-07-03,Indonesia,8,0,8,27,7,2009
170,2009-07-03,Iran,1,0,1,27,7,2009
171,2009-07-03,Iraq,11,0,11,27,7,2009
172,2009-07-03,Ireland,51,0,51,27,7,2009
173,2009-07-03,Israel,577,0,577,27,7,2009
174,2009-07-03,Italy,130,0,130,27,7,2009
175,2009-07-03,Jamaica,32,0,32,27,7,2009
176,2009-07-03,Japan,1446,0,1446,27,7,2009
177,2009-07-03,Jordan,22,0,22,27,7,2009
178,2009-07-03,Kenya,12,0,12,27,7,2009
179,2009-07-03,Korea,202,0,202,27,7,2009
180,2009-07-03,Kuwait,35,0,35,27,7,2009
181,2009-07-03,Laos,3,0,3,27,7,2009
182,2009-07-03,Latvia,1,0,1,27,7,2009
183,2009-07-03,Lebanon,47,0,47,27,7,2009
184,2009-07-03,Lithuania,3,0,3,27,7,2009
185,2009-07-03,Luxembourg,4,0,4,27,7,2009
186,2009-07-03,Malaysia,112,0,112,27,7,2009
187,2009-07-03,Malta,2,0,2,27,7,2009
188,2009-07-03,Mauritius,1,0,1,27,7,2009
189,2009-07-03,Mexico,10262,119,10143,27,7,2009
190,2009-07-03,Montenegro,9,0,9,27,7,2009
191,2009-07-03,Morocco,17,0,17,27,7,2009
192,2009-07-03,Myanmar,1,0,1,27,7,2009
193,2009-07-03,Nepal,5,0,5,27,7,2009
194,2009-07-03,Netherlands,154,0,154,27,7,2009
195,2009-07-03,New Zealand,912,0,912,27,7,2009
196,2009-07-03,Nicaragua,308,0,308,27,7,2009
197,2009-07-03,Norway,41,0,41,27,7,2009
198,2009-07-03,Oman,3,0,3,27,7,2009
199,2009-07-03,Palau,1,0,1,27,7,2009
200,2009-07-03,Panama,417,0,417,27,7,2009
201,2009-07-03,Papua New Guinea,1,0,1,27,7,2009
202,2009-07-03,Paraguay,103,0,103,27,7,2009
203,2009-07-03,Peru,538,0,538,27,7,2009
204,2009-07-03,Philippines,1709,1,1708,27,7,2009
205,2009-07-03,Poland,19,0,19,27,7,2009
206,2009-07-03,Portugal,27,0,27,27,7,2009
207,2009-07-03,Qatar,10,0,10,27,7,2009
208,2009-07-03,Romania,36,0,36,27,7,2009
209,2009-07-03,Russia,3,0,3,27,7,2009
210,2009-07-03,Saint Lucia,1,0,1,27,7,2009
211,2009-07-03,Samoa,1,0,1,27,7,2009
212,2009-07-03,Saudi Arabia,89,0,89,27,7,2009
213,2009-07-03,Serbia,15,0,15,27,7,2009
214,2009-07-03,Singapore,878,0,878,27,7,2009
215,2009-07-03,Slovakia,18,0,18,27,7,2009
216,2009-07-03,Slovenia,5,0,5,27,7,2009
217,2009-07-03,South Africa,12,0,12,27,7,2009
218,2009-07-03,Spain,760,1,759,27,7,2009
219,2009-07-03,Sri Lanka,17,0,17,27,7,2009
220,2009-07-03,Suriname,11,0,11,27,7,2009
221,2009-07-03,Sweden,74,0,74,27,7,2009
222,2009-07-03,Switzerland,72,0,72,27,7,2009
223,2009-07-03,Thailand,1414,3,1411,27,7,2009
224,2009-07-03,Trinidad and Tobago,53,0,53,27,7,2009
225,2009-07-03,Tunisia,3,0,3,27,7,2009
226,2009-07-03,Turkey,40,0,40,27,7,2009
227,2009-07-03,Uganda,1,0,1,27,7,2009
228,2009-07-03,Ukraine,1,0,1,27,7,2009
229,2009-07-03,United Arab Emirates,8,0,8,27,7,2009
230,2009-07-03,United Kingdom,7464,3,7461,27,7,2009
231,2009-07-03,USA,33902,170,33732,27,7,2009
232,2009-07-03,Uruguay,195,1,194,27,7,2009
233,2009-07-03,Vanuatu,2,0,2,27,7,2009
234,2009-07-03,Venezuela,204,0,204,27,7,2009
235,2009-07-03,Viet Nam,131,0,131,27,7,2009
236,2009-07-03,West Bank,30,0,30,27,7,2009
237,2009-07-03,Yemen,7,0,7,27,7,2009
238,2009-07-01,Algeria,2,0,2,27,7,2009
239,2009-07-01,Antigua,2,0,2,27,7,2009
240,2009-07-01,Argentina,1587,26,1561,27,7,2009
241,2009-07-01,Australia,4090,7,4083,27,7,2009
242,2009-07-01,Austria,15,0,15,27,7,2009
243,2009-07-01,Bahamas,6,0,6,27,7,2009
244,2009-07-01,Bahrain,15,0,15,27,7,2009
245,2009-07-01,Bangladesh,1,0,1,27,7,2009
246,2009-07-01,Barbados,10,0,10,27,7,2009
247,2009-07-01,Belgium,47,0,47,27,7,2009
248,2009-07-01,Bermuda,1,0,1,27,7,2009
249,2009-07-01,Bolivia,205,0,205,27,7,2009
250,2009-07-01,Brazil,680,1,679,27,7,2009
251,2009-07-01,BVI,1,0,1,27,7,2009
252,2009-07-01,Brunei Darussalam,29,0,29,27,7,2009
253,2009-07-01,Bulgaria,10,0,10,27,7,2009
254,2009-07-01,Cambodia,6,0,6,27,7,2009
255,2009-07-01,Canada,7983,25,7958,27,7,2009
256,2009-07-01,Cap Verde,3,0,3,27,7,2009
257,2009-07-01,"Cayman Islands, UKOT",13,0,13,27,7,2009
258,2009-07-01,Chile,6211,12,6199,27,7,2009
259,2009-07-01,China,1518,0,1518,27,7,2009
260,2009-07-01,Colombia,93,2,91,27,7,2009
261,2009-07-01,Costa Rica,279,2,277,27,7,2009
262,2009-07-01,Cote d'Ivoire,2,0,2,27,7,2009
263,2009-07-01,Cuba,46,0,46,27,7,2009
264,2009-07-01,Cyprus,48,0,48,27,7,2009
265,2009-07-01,Czech Republic,9,0,9,27,7,2009
266,2009-07-01,Denmark,55,0,55,27,7,2009
267,2009-07-01,Dominica,1,0,1,27,7,2009
268,2009-07-01,Dominican Republic,108,2,106,27,7,2009
269,2009-07-01,Ecuador,163,0,163,27,7,2009
270,2009-07-01,Egypt,67,0,67,27,7,2009
271,2009-07-01,El Salvador,226,0,226,27,7,2009
272,2009-07-01,Estonia,13,0,13,27,7,2009
273,2009-07-01,Ethiopia,2,0,2,27,7,2009
274,2009-07-01,Fiji,2,0,2,27,7,2009
275,2009-07-01,Finland,26,0,26,27,7,2009
276,2009-07-01,France,287,0,287,27,7,2009
277,2009-07-01,Germany,417,0,417,27,7,2009
278,2009-07-01,Greece,92,0,92,27,7,2009
279,2009-07-01,Guatemala ,254,2,252,27,7,2009
280,2009-07-01,Honduras,118,1,117,27,7,2009
281,2009-07-01,Hungary,10,0,10,27,7,2009
282,2009-07-01,Iceland,4,0,4,27,7,2009
283,2009-07-01,India,104,0,104,27,7,2009
284,2009-07-01,Indonesia,8,0,8,27,7,2009
285,2009-07-01,Iran,1,0,1,27,7,2009
286,2009-07-01,Iraq,11,0,11,27,7,2009
287,2009-07-01,Ireland,41,0,41,27,7,2009
288,2009-07-01,Israel,506,0,506,27,7,2009
289,2009-07-01,Italy,123,0,123,27,7,2009
290,2009-07-01,Jamaica,32,0,32,27,7,2009
291,2009-07-01,Japan,1266,0,1266,27,7,2009
292,2009-07-01,Jordan,20,0,20,27,7,2009
293,2009-07-01,Kenya,1,0,1,27,7,2009
294,2009-07-01,Korea,202,0,202,27,7,2009
295,2009-07-01,Kuwait,34,0,34,27,7,2009
296,2009-07-01,Laos,3,0,3,27,7,2009
297,2009-07-01,Latvia,1,0,1,27,7,2009
298,2009-07-01,Lebanon,39,0,39,27,7,2009
299,2009-07-01,Lithuania,1,0,1,27,7,2009
300,2009-07-01,Luxembourg,4,0,4,27,7,2009
301,2009-07-01,Malaysia,112,0,112,27,7,2009
302,2009-07-01,Mauritius,7,0,7,27,7,2009
303,2009-07-01,Mexico,8680,116,8564,27,7,2009
304,2009-07-01,Montenegro,4,0,4,27,7,2009
305,2009-07-01,Morocco,17,0,17,27,7,2009
306,2009-07-01,Myanmar,1,0,1,27,7,2009
307,2009-07-01,Nepal,3,0,3,27,7,2009
308,2009-07-01,Netherlands,142,0,142,27,7,2009
309,2009-07-01,New Zealand,711,0,711,27,7,2009
310,2009-07-01,Nicaragua,293,0,293,27,7,2009
311,2009-07-01,Norway,32,0,32,27,7,2009
312,2009-07-01,Oman,3,0,3,27,7,2009
313,2009-07-01,Panama,417,0,417,27,7,2009
314,2009-07-01,Papua New Guinea,1,0,1,27,7,2009
315,2009-07-01,Paraguay,96,0,96,27,7,2009
316,2009-07-01,Peru,538,0,538,27,7,2009
317,2009-07-01,Philippines,861,1,860,27,7,2009
318,2009-07-01,Poland,15,0,15,27,7,2009
319,2009-07-01,Portugal,17,0,17,27,7,2009
320,2009-07-01,Qatar,10,0,10,27,7,2009
321,2009-07-01,Romania,28,0,28,27,7,2009
322,2009-07-01,Russia,3,0,3,27,7,2009
323,2009-07-01,Saint Lucia,1,0,1,27,7,2009
324,2009-07-01,Samoa,1,0,1,27,7,2009
325,2009-07-01,Saudi Arabia,81,0,81,27,7,2009
326,2009-07-01,Serbia,12,0,12,27,7,2009
327,2009-07-01,Singapore,701,0,701,27,7,2009
328,2009-07-01,Slovakia,13,0,13,27,7,2009
329,2009-07-01,Slovenia,4,0,4,27,7,2009
330,2009-07-01,South Africa,1,0,1,27,7,2009
331,2009-07-01,Spain,717,1,716,27,7,2009
332,2009-07-01,Sri Lanka,15,0,15,27,7,2009
333,2009-07-01,Suriname,11,0,11,27,7,2009
334,2009-07-01,Sweden,69,0,69,27,7,2009
335,2009-07-01,Switzerland,56,0,56,27,7,2009
336,2009-07-01,Thailand,1414,3,1411,27,7,2009
337,2009-07-01,Trinidad and Tobago,53,0,53,27,7,2009
338,2009-07-01,Tunisia,3,0,3,27,7,2009
339,2009-07-01,Turkey,32,0,32,27,7,2009
340,2009-07-01,Ukraine,1,0,1,27,7,2009
341,2009-07-01,United Arab Emirates,8,0,8,27,7,2009
342,2009-07-01,United Kingdom,6552,3,6549,27,7,2009
343,2009-07-01,USA,27717,127,27590,27,7,2009
344,2009-07-01,Uruguay,195,1,194,27,7,2009
345,2009-07-01,Vanuatu,2,0,2,27,7,2009
346,2009-07-01,Venezuela,193,0,193,27,7,2009
347,2009-07-01,Viet Nam,123,0,123,27,7,2009
348,2009-07-01,West Bank,13,0,13,27,7,2009
349,2009-07-01,Yemen,7,0,7,27,7,2009
350,2009-06-29,Algeria,2,0,2,27,6,2009
351,2009-06-29,Antigua,2,0,2,27,6,2009
352,2009-06-29,Argentina,1488,23,1465,27,6,2009
353,2009-06-29,Australia,4038,7,4031,27,6,2009
354,2009-06-29,Austria,12,0,12,27,6,2009
355,2009-06-29,Bahamas,4,0,4,27,6,2009
356,2009-06-29,Bahrain,15,0,15,27,6,2009
357,2009-06-29,Bangladesh,1,0,1,27,6,2009
358,2009-06-29,Barbados,10,0,10,27,6,2009
359,2009-06-29,Belgium,43,0,43,27,6,2009
360,2009-06-29,Bermuda,1,0,1,27,6,2009
361,2009-06-29,Bolivia,126,0,126,27,6,2009
362,2009-06-29,Brazil,452,0,452,27,6,2009
363,2009-06-29,BVI,1,0,1,27,6,2009
364,2009-06-29,Brunei Darussalam,29,0,29,27,6,2009
365,2009-06-29,Bulgaria,7,0,7,27,6,2009
366,2009-06-29,Cambodia,6,0,6,27,6,2009
367,2009-06-29,Canada,7775,21,7754,27,6,2009
368,2009-06-29,Cap Verde,3,0,3,27,6,2009
369,2009-06-29,"Cayman Islands, UKOT",9,0,9,27,6,2009
370,2009-06-29,Chile,5186,7,5179,27,6,2009
371,2009-06-29,China,1442,0,1442,27,6,2009
372,2009-06-29,Colombia,88,2,86,27,6,2009
373,2009-06-29,Costa Rica,255,1,254,27,6,2009
374,2009-06-29,Cote d'Ivoire,2,0,2,27,6,2009
375,2009-06-29,Cuba,34,0,34,27,6,2009
376,2009-06-29,Cyprus,25,0,25,27,6,2009
377,2009-06-29,Czech Republic,9,0,9,27,6,2009
378,2009-06-29,Denmark,44,0,44,27,6,2009
379,2009-06-29,Dominica,1,0,1,27,6,2009
380,2009-06-29,Dominican Republic,108,2,106,27,6,2009
381,2009-06-29,Ecuador,125,0,125,27,6,2009
382,2009-06-29,Egypt,50,0,50,27,6,2009
383,2009-06-29,El Salvador,226,0,226,27,6,2009
384,2009-06-29,Estonia,13,0,13,27,6,2009
385,2009-06-29,Ethiopia,2,0,2,27,6,2009
386,2009-06-29,Fiji,2,0,2,27,6,2009
387,2009-06-29,Finland,26,0,26,27,6,2009
388,2009-06-29,France,240,0,240,27,6,2009
389,2009-06-29,Germany,366,0,366,27,6,2009
390,2009-06-29,Greece,86,0,86,27,6,2009
391,2009-06-29,Guatemala ,254,2,252,27,6,2009
392,2009-06-29,Honduras,118,1,117,27,6,2009
393,2009-06-29,Hungary,8,0,8,27,6,2009
394,2009-06-29,Iceland,4,0,4,27,6,2009
395,2009-06-29,India,64,0,64,27,6,2009
396,2009-06-29,Indonesia,8,0,8,27,6,2009
397,2009-06-29,Iran,1,0,1,27,6,2009
398,2009-06-29,Iraq,10,0,10,27,6,2009
399,2009-06-29,Ireland,39,0,39,27,6,2009
400,2009-06-29,Israel,469,0,469,27,6,2009
401,2009-06-29,Italy,112,0,112,27,6,2009
402,2009-06-29,Jamaica,21,0,21,27,6,2009
403,2009-06-29,Japan,1212,0,1212,27,6,2009
404,2009-06-29,Jordan,18,0,18,27,6,2009
405,2009-06-29,Korea,202,0,202,27,6,2009
406,2009-06-29,Kuwait,30,0,30,27,6,2009
407,2009-06-29,Laos,3,0,3,27,6,2009
408,2009-06-29,Latvia,1,0,1,27,6,2009
409,2009-06-29,Lebanon,25,0,25,27,6,2009
410,2009-06-29,Lithuania,1,0,1,27,6,2009
411,2009-06-29,Luxembourg,4,0,4,27,6,2009
412,2009-06-29,Malaysia,112,0,112,27,6,2009
413,2009-06-29,Mexico,8279,116,8163,27,6,2009
414,2009-06-29,Monaco,1,0,1,27,6,2009
415,2009-06-29,Montenegro,1,0,1,27,6,2009
416,2009-06-29,Morocco,11,0,11,27,6,2009
417,2009-06-29,Nepal,3,0,3,27,6,2009
418,2009-06-29,Netherlands,122,0,122,27,6,2009
419,2009-06-29,New Zealand,587,0,587,27,6,2009
420,2009-06-29,Nicaragua,277,0,277,27,6,2009
421,2009-06-29,Norway,31,0,31,27,6,2009
422,2009-06-29,Oman,3,0,3,27,6,2009
423,2009-06-29,Panama,403,0,403,27,6,2009
424,2009-06-29,Papua New Guinea,1,0,1,27,6,2009
425,2009-06-29,Paraguay,85,0,85,27,6,2009
426,2009-06-29,Peru,360,0,360,27,6,2009
427,2009-06-29,Philippines,861,1,860,27,6,2009
428,2009-06-29,Poland,14,0,14,27,6,2009
429,2009-06-29,Portugal,11,0,11,27,6,2009
430,2009-06-29,Qatar,10,0,10,27,6,2009
431,2009-06-29,Romania,24,0,24,27,6,2009
432,2009-06-29,Russia,3,0,3,27,6,2009
433,2009-06-29,Samoa,1,0,1,27,6,2009
434,2009-06-29,Saudi Arabia,69,0,69,27,6,2009
